Project link,Cell link,Cost,Ah,V,Continuous discharge,IR (mOhm),Chemistry,Size,Weight,Battery cooling,kWh capacity,Range,Notes
,https://www.lithium-power.com.au/product/v1-samsung-sdi-module-18-5v-3-5kw-/19?cp=true&sa=false&sbp=true&q=false&category_id=3,800,188,18.5,1C,,,500x180x140,22kg,,,,
,https://www.lithium-power.com.au/product/tesla-battery-module-24v-5-3kw-v1-v2/1?cp=true&sa=false&sbp=true&q=false&category_id=3,2300,230,22.2,1C,,,685x300x75,25kg,,,,
,https://www.lithium-power.com.au/product/tesla-model-3-module-23s-85-1v-18kwh/42?cp=true&sa=false&sbp=true&q=false&category_id=3,6500,210,85.1,3.5C,,,1900x330x100,86.6kg,,,,
,https://www.lithium-power.com.au/product/lg-chem-60v-2-5kw-battery-module-/11?cp=true&sa=false&sbp=true&q=false&category_id=3,1000,45,60.8,,,,370x300x160,17kg,,,,
,https://www.lithium-power.com.au/product/tesla-model-3-cells-25-pack/39?cp=true&sa=false&sbp=true&q=false&category_id=5,6.4,4.8,3.7,3.125C,13,Lithium-ion (NCA),18650,70g,,,,Currently out of stock
,https://www.lithium-power.com.au/product/500-ah-3-2v-lfp-cell/29?cp=true&sa=false&sbp=false&q=false&category_id=5,390,500,3.6,0.2C,,Lithium Iron Phosphate,680x130x80,14kg,,,,
,https://www.lithium-power.com.au/product/nissan-leaf-cell-g1-/40?cp=true&sa=false&sbp=false&q=false&category_id=5,110,60,7.2,2.17C,,NCM,303x223x35,3.8kg,,,,
,https://www.lithium-power.com.au/product/lishen-272ah-cell-3-2v-x4-12v-set/50?cp=true&sa=false&sbp=false&q=false&category_id=5,325,272,3.2,1C,,Lithium Iron Phosphate,,5.3kg,,,,
,https://www.lithium-power.com.au/product/chevy-volt-battery-g1-360v/34?cp=true&sa=false&sbp=true&q=false&category_id=9,7000,44,360,2.5C,,,,,,,,
,https://www.lithium-power.com.au/product/nissan-leaf-24kwh-complete-battery-g1-/33?cp=true&sa=false&sbp=true&q=false&category_id=9,3000,40,360,2.5C,,,1570.5x1188x264.9,293kg,,,,
,https://www.lithium-power.com.au/product/tesla-model-3-75kwh-battery/36?cp=true&sa=false&sbp=true&q=false&category_id=9,20000,210,360,,,,,,,,,
,https://www.lanplus.com.au/18650-battery?product_id=250&sort=p.price&order=DESC,9.48,3.5,3.7,2C,,,18650,49g,,,,"Large range of 18650s at this shop, mostly high discharge types"
,https://ecocell.com.au/product/samsung-30q-x50/,7.71,3,3.6,5C,,,18650,45.6g,,,,"Large range of 18650s at this shop, some larger"
,http://www.yunergybattery.com/productshow.asp?id=761,30?,40,2.3,1C,,LTO,66mm(Diameter)×160mm(Height),1.23kg,,,,
,https://winston-battery.en.made-in-china.com/product/xBbJvmADgSRZ/China-Headway-38120-10ah-LiFePO4-Cylindrical-Cells-Battery.html,30?,10,3.2,3C,6,,38120,345g,,,,
https://forums.aeva.asn.au/viewtopic.php?f=18&t=5502,https://www.imrbatteries.com/content/molicel_p42a.pdf,8.8,4.2,3.6,12.9C,16,NCM,21700,70g,,,,
https://forums.aeva.asn.au/viewtopic.php?f=33&t=5721,http://www.yunergybattery.com/productshow.asp?id=756,65,63,3.6,2C,1,NCM,330x120x12,969g,Longitudinal cooling through pipes attached to tabs,82,N/A,
https://forums.aeva.asn.au/viewtopic.php?f=33&t=2418,http://www.yunergybattery.com/productshow.asp?id=756,65,63,3.6,2C,1,NCM,330x120x12,969g,Air cooled,40,140,"250Wh/km, Brumby"
https://forums.aeva.asn.au/viewtopic.php?f=33&t=6425,,,38?,60,,,,,,,,,
https://forums.aeva.asn.au/viewtopic.php?f=33&t=5608,,31.25,50,3.6?,,,NCM,,1.8kg,,,,
http://www.evalbum.com/2026,,,8,3.2,,,,38120,,,,64,
http://www.evalbum.com/5312,,,76,82,,,,,,,,32,
http://www.evalbum.com/5013,,,,96,,,,,,,,64,
http://www.evalbum.com/4688,,,100,3.2,,,Lithium Iron Phosphate,,,,,127,
http://www.evalbum.com/5213,,,,3.6?,,,Lithium Iron Phosphate?,,,,,64,
http://www.evalbum.com/5423,,,,22.8,,,,,,,53,321?,
http://www.evalbum.com/5526,,,,,,,,,,,24,144,
http://www.evalbum.com/1912,,,100,3.2,,,Lithium Iron Phosphate,,,,14.4,104,
http://www.evalbum.com/3533,,,160,3.2,,,Lithium Iron Phosphate,,,,23,128,
http://www.evalbum.com/5471,,,,7.2,,,,,,,11.5,64,
http://www.evalbum.com/5289,,,,3.6?,,,NCM,,,,53,273,
http://www.evalbum.com/4907,,,114,3.2,,,Lithium Iron Phosphate,,,,16.8,170,
http://www.evalbum.com/4833,,,100,3.2,,,Lithium Iron Phosphate,,,,18.6,115,
http://www.evalbum.com/5286,,,,57,,,,,,,,112,
http://www.evalbum.com/3145,,,160,3.2,,,Lithium Iron Phosphate,,,,20.5,96,
http://www.evalbum.com/4750,,,180,3.2,,,Lithium Iron Phosphate,,,,25.3,112,
http://www.evalbum.com/5514,,,,72,,,NCM,,,,,112,
http://www.evalbum.com/1715,,,53,,,,,,,,,85,
http://www.evalbum.com/5507,,,,,,,,,,,,225,
http://www.evalbum.com/4961,,,100,3.2,,,,,,,18.9,128,
http://www.evalbum.com/3693,,,,7.2,,,,,,,23,88,
